"sample_id","stratum","stratum_rank","selection_hash","oracle_id","printing_id","collector_number","set","set_name","rarity","name","mana_cost","type_line","oracle_text","layout","power","toughness","colors","standard_legality","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","code_evidence","authority_url"
"36","TMT-uncommon","16","2e70d6fe2db88930b28e60fd0daac52f6aa4836a4fcbe5a916fb2cb3f5a382bf","f1616a07-e4a1-4574-b341-d6b31d76b3c5","f1616a07-e4a1-4574-b341-d6b31d76b3c5","126","TMT","Teenage Mutant Ninja Turtles","uncommon","New Generation's Technique","3G","Sorcery","Sneak {2}{G} (You may cast this spell for {2}{G} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.","normal","","","G","legal","partial_now","ron_after_omission","Engine","sneak","","The two-basic-land search is composable at the normal cost; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"37","TMT-uncommon","17","33e90038df401268800fb0f5b09a33410981c168959946d1e803f5fb8b8ed93b","deadb6d8-3eea-4261-a07c-8536df89e85c","deadb6d8-3eea-4261-a07c-8536df89e85c","178","TMT","Teenage Mutant Ninja Turtles","uncommon","Skateboard","1","Artifact — Equipment","When this Equipment enters, tap target permanent.
Equipped creature gets +1/+0 and has haste.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","normal","","","","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"38","TMT-uncommon","18","3856264df87af00fa494e366ceaec3c5e12bcb07832094b73b3761ff8f5932be","4208f96f-49ea-46d9-b6fc-2093ded1fadb","4208f96f-49ea-46d9-b6fc-2093ded1fadb","232","TMT","Teenage Mutant Ninja Turtles","uncommon","Shredder's Technique","2B","Sorcery","Sneak {B} (You may cast this spell for {B} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Destroy target creature or enchantment. If an enchantment was destroyed this way, you lose 2 life.","normal","","","B","legal","partial_now","ron_after_omission","Engine","sneak","","The modal destruction consequence is composable at the normal cost; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"39","TMT-uncommon","19","46945e26a75d8799fc26c30abbf8c252b17d4e6290336688d97a6940c2740e8d","037fe188-3355-4724-b2eb-e2448fc55607","037fe188-3355-4724-b2eb-e2448fc55607","152","TMT","Teenage Mutant Ninja Turtles","uncommon","Karai's Technique","1WB","Sorcery","Sneak {W}{B} (You may cast this spell for {W}{B} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Choose one or both —
• Target creature gets +3/+3 until end of turn.
• Target creature gets -3/-3 until end of turn.","normal","","","WB","legal","partial_now","ron_after_omission","Engine","sneak","","The choose-one-or-both pump modes are composable at the normal cost; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"40","TMT-uncommon","20","4f9090926237818c68b314fff85688f1c0bea86fa0ee3bb1fe4b0c2d754885b1","43c80d9e-0180-491a-ab08-2ba00f273604","43c80d9e-0180-491a-ab08-2ba00f273604","210","TMT","Teenage Mutant Ninja Turtles","uncommon","Shredder, Unrelenting","4B","Legendary Creature — Human Ninja","Sneak {3}{B} (You may cast this spell for {3}{B} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Deathtouch
Whenever Shredder enters or attacks, another target creature you control gains deathtouch until end of turn.","normal","6","4","B","legal","partial_now","ron_after_omission","Engine","sneak","","Deathtouch and the enters-or-attacks grant are composable; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"41","SOS-common","1","003a95384f31faf41bb947e9aecd83cf8b1627869033809098383b67c269cce8","0038d212-3d95-4f98-8c2e-7b2404d0ced7","0038d212-3d95-4f98-8c2e-7b2404d0ced7","118","SOS","Secrets of Strixhaven","common","Heated Argument","4R","Instant","Heated Argument deals 6 damage to target creature. You may exile a card from your graveyard. If you do, Heated Argument also deals 2 damage to that creature's controller.","normal","","","R","legal","partial_now","ron_after_omission","Engine","resolution_exile_graveyard_cost","","The six-damage spell is composable; exiling a selected graveyard card as an optional resolution cost is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"42","SOS-common","2","0261bdef679d75c1e589c466759a9c8b5f09dc8bb094e2f05cb834ef8c28439a","e52464ee-df8b-41ec-af93-4b0eb004383e","e52464ee-df8b-41ec-af93-4b0eb004383e","10","SOS","Secrets of Strixhaven","common","Dig Site Inventory","W","Sorcery","Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","normal","","","W","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"43","SOS-common","3","041bbd321fbd4d748a9e988da5c688219817845f4b433196b1b520beb81a63fd","8d93d14d-7760-4af2-a237-2df326dd28d3","8d93d14d-7760-4af2-a237-2df326dd28d3","89","SOS","Secrets of Strixhaven","common","Masterful Flourish","B","Instant","Target creature you control gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","normal","","","B","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"44","SOS-common","4","055bf22bb8858cac0ee327225d2043f389d540b4a299e11e84031e96abace7be","62842fb4-8bd3-4d80-b4f9-5bc3c5cebd3a","62842fb4-8bd3-4d80-b4f9-5bc3c5cebd3a","192","SOS","Secrets of Strixhaven","common","Grapple with Death","1BG","Sorcery","Destroy target artifact or creature. You gain 1 life.","normal","","","BG","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"45","SOS-common","5","05935b32ee0441887ce878842d200349396c3dff402d292287ac3676ae6a2589","b87e2474-98c1-4c1a-91ed-340b72d31653","b87e2474-98c1-4c1a-91ed-340b72d31653","133","SOS","Secrets of Strixhaven","common","Tackle Artist","3R","Creature — Orc Sorcerer","Trample
Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, put two +1/+1 counters on this creature instead.","normal","4","3","R","legal","partial_now","ron_after_omission","Engine","spell_mana_spent_event_context","","The instant-or-sorcery cast trigger and first counter are composable; the same cast event does not expose actual mana spent for the five-mana upgrade.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"46","SOS-common","6","0b4586ccdace995001b5b86f9b1014f5a728347bd2b12a35157dbe904e33c0fb","5fe99be0-e1ec-485e-82f8-02eba7b82441","5fe99be0-e1ec-485e-82f8-02eba7b82441","24","SOS","Secrets of Strixhaven","common","Owlin Historian","2W","Creature — Bird Cleric","Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Whenever one or more cards leave your graveyard, this creature gets +1/+1 until end of turn.","normal","2","3","W","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"47","SOS-common","7","0fc60d30c63f0cd18d44554e801918eb379bde4d1ce16ba0b00358bdbac5ccd5","376c8b7d-1c90-47e1-bd01-e4c67f3fc4fc","376c8b7d-1c90-47e1-bd01-e4c67f3fc4fc","163","SOS","Secrets of Strixhaven","common","Tenured Concocter","4G","Creature — Troll Druid","Vigilance
Whenever this creature becomes the target of a spell or ability an opponent controls, you may draw a card.
Infusion — This creature gets +2/+0 as long as you gained life this turn.","normal","4","5","G","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"48","SOS-common","8","17751b484b8fb3576fc071c9d4220ca6fb2cdee5a95b989cbdb34335bd1d400e","dc0517ca-b271-49a1-a286-c20f4e5b9309","dc0517ca-b271-49a1-a286-c20f4e5b9309","31","SOS","Secrets of Strixhaven","common","Shattered Acolyte","1W","Creature — Dwarf Warlock","Lifelink
{1}, Sacrifice this creature: Destroy target artifact or enchantment.","normal","2","2","W","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"49","SOS-common","9","17e1afc3a743c9454ffe8dab493d7a9164d5093062a37e4c4f17fe4538a5b363","4ddf4e34-a1f9-4636-942d-0a08e9f94320","4ddf4e34-a1f9-4636-942d-0a08e9f94320","129","SOS","Secrets of Strixhaven","common","Seize the Spoils","2R","Sorcery","As an additional cost to cast this spell, discard a card.
Draw two cards and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","normal","","","R","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"50","SOS-common","10","1e2a607bb7ad4c40ba6fb522e78488b1367aa436095eaf61fca4e7ce332a8ae6","04fdfabc-c247-4384-a5bb-f49035f8aae0","04fdfabc-c247-4384-a5bb-f49035f8aae0","167","SOS","Secrets of Strixhaven","common","Wild Hypothesis","XG","Sorcery","Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)","normal","","","G","legal","partial_now","ron_after_omission","Engine","token_entry_counters_amount","","Surveil is composable; the created Fractal needs X +1/+1 counters before state-based actions.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"51","SOS-common","11","2749b2a8904ceebe3a6040cd57804e490bdb05b40d646350055be61edc6a9ed4","9cd1417a-badc-4abd-a8ca-5b31f85c1072","9cd1417a-badc-4abd-a8ca-5b31f85c1072","6","SOS","Secrets of Strixhaven","common","Ajani's Response","4W","Instant","This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.","normal","","","W","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"52","SOS-common","12","2c66550aba8d6da267ee0643c0eae0275a80fc2a4e55a79d8ceac57519c4733c","06f9f257-c7ef-44b7-8b2b-f038fba900af","06f9f257-c7ef-44b7-8b2b-f038fba900af","41","SOS","Secrets of Strixhaven","common","Chase Inspiration","U","Instant","Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)","normal","","","U","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"53","SOS-common","13","2d7f0e38d4d9947fba0ea3bfea8cce331d1652df71fd03d51f9bb2cd8fb98652","846a0e79-a530-429e-8f7f-4b87f1b0156e","846a0e79-a530-429e-8f7f-4b87f1b0156e","242","SOS","Secrets of Strixhaven","common","Visionary's Dance","5UR","Sorcery","Create two 3/3 blue and red Elemental creature tokens with flying.
{2}, Discard this card: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.","normal","","","UR","legal","partial_now","ron_after_omission","Engine","hand_activated_split_destination","","Token creation is composable; the hand-zone discard ability needs one looked-at card to hand and the other to graveyard.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"54","SOS-common","14","319a5ebd6e0c9422102f55177ca435b7e4c4f1cdb0bf5a080e5e40e9714bbd83","afe61957-a9bb-42b0-98e8-b5fa418cbaff","afe61957-a9bb-42b0-98e8-b5fa418cbaff","128","SOS","Secrets of Strixhaven","common","Rubble Rouser","2R","Creature — Dwarf Sorcerer","When this creature enters, you may discard a card. If you do, draw a card.
{T}, Exile a card from your graveyard: Add {R}. When you do, this creature deals 1 damage to each opponent.","normal","1","4","R","legal","partial_now","ron_after_omission","Engine","composite_mana_ability","","The ETB rummage is composable; the engine recognizes mana abilities only when ProduceMana is the sole effect, excluding the reflexive damage rider.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"55","SOS-common","15","3481a04c8aca21925f532c44612f768289e9a4e5bd5b8abc83415de7ca08e95f","79b9ace7-eceb-4f97-9ee7-d5ee3e0b3515","79b9ace7-eceb-4f97-9ee7-d5ee3e0b3515","144","SOS","Secrets of Strixhaven","common","Efflorescence","2G","Instant","Put two +1/+1 counters on target creature.
Infusion — If you gained life this turn, that creature also gains trample and indestructible until end of turn.","normal","","","G","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"56","SOS-common","16","35b29ec067d40b049869b0964ccbc0c587deddcb852ad101f1a20ad5f7180c88","8c6fecfd-8241-4cf0-b1eb-19472b99e0ed","8c6fecfd-8241-4cf0-b1eb-19472b99e0ed","250","SOS","Secrets of Strixhaven","common","Page, Loose Leaf","2","Legendary Artifact Creature — Construct","{T}: Add {C}.
Grandeur — Discard another card named Page, Loose Leaf: Reveal cards from the top of your library until you reveal an instant or sorcery card. Put that card into your hand and the rest on the bottom of your library in a random order.","normal","0","2","","legal","blocked","shared_capability_required","Engine","grandeur_filtered_discard","reveal_until","Grandeur needs a same-name other-card discard and reveal-until processing; the mana ability alone is insufficient.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"57","SOS-common","17","36b99de97534293e51e1d77b2d7fe42ed3e379a2e22981c307c2a03d50fc5686","95d5b0a8-2b66-418e-9e5e-ecf7b304c31e","95d5b0a8-2b66-418e-9e5e-ecf7b304c31e","141","SOS","Secrets of Strixhaven","common","Burrog Barrage","1G","Instant","Target creature you control gets +1/+0 until end of turn if you've cast another instant or sorcery spell this turn. Then it deals damage equal to its power to up to one target creature an opponent controls.","normal","","","G","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"58","SOS-common","18","3754cdc3bf265c913b47d65f6edc2534283c7cf14b77f392f09c5259059053d0","030b1272-5990-4bc9-8fc1-82cc05602060","030b1272-5990-4bc9-8fc1-82cc05602060","151","SOS","Secrets of Strixhaven","common","Hungry Graffalon","3G","Creature — Giraffe","Reach
Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)","normal","3","4","G","legal","blocked","shared_capability_required","Engine","spell_mana_spent_event_context","","Increment compares actual spell spending with live source power or toughness; reach alone is insufficient.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"59","SOS-common","19","37695bbcaa0f0432ff6e0b2b941c41f374b7f1e88bbd21992dad18a8e33288c2","2970683e-e69c-42cb-a067-34abd56fb42b","2970683e-e69c-42cb-a067-34abd56fb42b","12","SOS","Secrets of Strixhaven","common","Elite Interceptor // Rejoinder","W // 1W","Creature — Human Wizard // Sorcery","This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)

---

You may tap or untap target creature.
Draw a card.","prepare","1","2","W","legal","blocked","shared_capability_required","Engine","prepared","","Preparation state and casting a copy of the inset spell are not modeled.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"60","SOS-common","20","444266da9cf1d1bc1512b43e14b895bc701a9516c45439747e3f7d352d61bbc3","3dc7a4c3-c356-4fba-bea0-e8788da3eb57","3dc7a4c3-c356-4fba-bea0-e8788da3eb57","255","SOS","Secrets of Strixhaven","common","Fields of Strife","","Land","This land enters tapped.
{T}: Add {R} or {W}.
{2}{R}{W}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","normal","","","","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"61","SOS-uncommon","1","012f67fca6e3c0ef03864eba39a7090700533882524073d242ccc78ab4407acb","62a47835-5719-48c4-a740-a0c5f00dce11","62a47835-5719-48c4-a740-a0c5f00dce11","27","SOS","Secrets of Strixhaven","uncommon","Quill-Blade Laureate // Twofold Intent","1W","Creature — Human Cleric // Sorcery","Double strike
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)

---

Target creature gets +1/+0 and gains double strike until end of turn.","prepare","1","1","W","legal","blocked","shared_capability_required","Engine","prepared","","Preparation state and casting the inset spell copy are the substantive behavior.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"62","SOS-uncommon","2","028321d8bee207b41e03a9a3833a36ddac8f1c1133cf43719a3f8b7209894cf5","f2bf6b36-43e4-49d9-98b2-cbb4304c248b","f2bf6b36-43e4-49d9-98b2-cbb4304c248b","147","SOS","Secrets of Strixhaven","uncommon","Environmental Scientist","1G","Creature — Human Druid","When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.","normal","2","2","G","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"63","SOS-uncommon","3","034e9563bd26fe25764f9a5ca6453b316c12eab88e1ec1592e370374f0ff6e92","bce9d933-be58-4301-beb4-07b04d0b69f0","bce9d933-be58-4301-beb4-07b04d0b69f0","108","SOS","Secrets of Strixhaven","uncommon","Artistic Process","3RR","Sorcery","Choose one —
• Artistic Process deals 6 damage to target creature.
• Artistic Process deals 2 damage to each creature you don't control.
• Create a 3/3 blue and red Elemental creature token with flying. It gains haste until end of turn.","normal","","","R","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"64","SOS-uncommon","4","0525b19882a963bbd429eb443aa25e1448a131f391d22feec409fb99ff130c5d","26295e25-f1bf-4665-ba00-dad35c49bbc2","26295e25-f1bf-4665-ba00-dad35c49bbc2","43","SOS","Secrets of Strixhaven","uncommon","Divergent Equation","XXU","Instant","Return up to X target instant and/or sorcery cards from your graveyard to your hand.
Exile Divergent Equation.","normal","","","U","legal","blocked","shared_capability_required","Engine","x_target_cardinality","","The graveyard move exists, but target cardinality cannot be bound to the chosen X.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"65","SOS-uncommon","5","05a77d19eca68a65c3ffdbcb6ddd55f0c48ab1843537ca3d5d589425ebee486f","67504a12-7414-4209-bf1c-624b4db19d52","67504a12-7414-4209-bf1c-624b4db19d52","84","SOS","Secrets of Strixhaven","uncommon","Forum Necroscribe","5B","Creature — Troll Warlock","Ward—Discard a card.
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, return target creature card from your graveyard to the battlefield.","normal","5","4","B","legal","blocked","shared_capability_required","Engine","cast_targets_creature_trigger","","Ward is expressible, but Repartee requires one cast event filtered by whether that spell targets a creature.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"66","SOS-uncommon","6","07928cb97d3a87c9ec34bc717e741dca66f52a3d8368f4a3276c12e8f4480dc0","2028792c-fd60-40d4-bff7-3b82dbe1ffb5","2028792c-fd60-40d4-bff7-3b82dbe1ffb5","121","SOS","Secrets of Strixhaven","uncommon","Living History","1R","Enchantment","When this enchantment enters, create a 2/2 red and white Spirit creature token.
Whenever you attack, if a card left your graveyard this turn, target attacking creature gets +2/+0 until end of turn.","normal","","","R","legal","partial_now","ron_after_omission","Engine","cards_left_graveyard_turn_condition","","The ETB Spirit is composable; the attack trigger needs a committed cards-left-graveyard turn fact.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"67","SOS-uncommon","7","0ab288536fa5412450778f111121627ed6506167e561d86e49ea2407188d4da7","6e4a1f82-b0b1-4608-91f8-130bee731435","6e4a1f82-b0b1-4608-91f8-130bee731435","53","SOS","Secrets of Strixhaven","uncommon","Homesickness","4UU","Instant","Target player draws two cards. Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)","normal","","","U","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"68","SOS-uncommon","8","0b37d102bb85dab13dbeff9f1507d75ba6c22137597b1b7f4504ddbebfa49e38","b127d543-0a90-4af6-9410-94d5cd30389e","b127d543-0a90-4af6-9410-94d5cd30389e","213","SOS","Secrets of Strixhaven","uncommon","Proctor's Gaze","2GU","Instant","Return up to one target nonland permanent to its owner's hand. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.","normal","","","UG","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"69","SOS-uncommon","9","0f808096303a40f5e9bd254467fe5f3e7f12e02e723e9996a1ff50ac23c9ec63","d7cb1af2-0302-46ff-8303-ae9d07541a01","d7cb1af2-0302-46ff-8303-ae9d07541a01","208","SOS","Secrets of Strixhaven","uncommon","Paradox Surveyor","G{G/U}U","Creature — Elf Druid","Reach
When this creature enters, look at the top five cards of your library. You may reveal a land card or a card with {X} in its mana cost from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","normal","3","3","UG","legal","blocked","shared_capability_required","Engine","zone_filter_mana_cost_x","","The top-five selection cannot filter for a land or a printed mana cost containing X.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"70","SOS-uncommon","10","125bab6e96f97d2ad3c94c5982151f5356449b05c804be5191db95e8e8ba7d7b","911442e3-3003-4683-a766-e791e9553667","911442e3-3003-4683-a766-e791e9553667","152","SOS","Secrets of Strixhaven","uncommon","Infirmary Healer // Stream of Life","1G // XG","Creature — Cat Cleric // Sorcery","This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)

---

Target player gains X life.","prepare","2","3","G","legal","blocked","shared_capability_required","Engine","prepared","","Preparation state and casting the X-life spell copy are not modeled.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
"71","SOS-uncommon","11","128ff717efe99222bf7d009da5c5582aea546644a036bc63dcfb7c37e8fddb87","1675a445-86ae-413b-b95a-a1c254a7f252","1675a445-86ae-413b-b95a-a1c254a7f252","193","SOS","Secrets of Strixhaven","uncommon","Growth Curve","GU","Sorcery","Put a +1/+1 counter on target creature you control, then double the number of +1/+1 counters on that creature.","normal","","","UG","legal","partial_now","ron_after_omission","Engine","double_counters","","The initial +1/+1 counter is composable; doubling the current +1/+1 counters on the target is not.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/secrets-of-strixhaven-release-notes"
