"sample_id","stratum","stratum_rank","selection_hash","oracle_id","scryfall_id","name","mana_cost","type_line","oracle_text","keywords","layout","power","toughness","faces_json","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","code_evidence","scryfall_uri","rulings_uri"
"99","WOE-uncommon","9","21efe672ae3b1aaebe95715b685c1398c09484e63f41112c0f2e2b05e39c54c4","48ab8ba0-0e85-4656-a798-ceb961fb02ce","60976109-30ad-4f12-99eb-c5ef560fcf1b","Galvanic Giant // Storm Reading","{3}{U} // {5}{U}{U}","Creature — Giant Wizard // Instant — Adventure","Galvanic Giant: Whenever you cast a spell with mana value 5 or greater, tap target creature an opponent controls and put a stun counter on it.
---
Storm Reading: Draw four cards, then discard two cards. (Then exile this card. You may cast the creature later from exile.)","","adventure","3","3","[{""name"":""Galvanic Giant"",""mana_cost"":""{3}{U}"",""type_line"":""Creature — Giant Wizard"",""oracle_text"":""Whenever you cast a spell with mana value 5 or greater, tap target creature an opponent controls and put a stun counter on it."",""power"":""3"",""toughness"":""3"",""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null},{""name"":""Storm Reading"",""mana_cost"":""{5}{U}{U}"",""type_line"":""Instant — Adventure"",""oracle_text"":""Draw four cards, then discard two cards. (Then exile this card. You may cast the creature later from exile.)"",""power"":null,""toughness"":null,""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null}]","full_now","composable_ron","Data","","","MV-bounded spell-cast watcher and Adventure DrawDiscard.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/52/galvanic-giant-storm-reading?utm_source=api","https://api.scryfall.com/cards/60976109-30ad-4f12-99eb-c5ef560fcf1b/rulings"
"100","WOE-uncommon","10","26333e3e0562454ac48958b8bfbf3ad9f48db8cfc1daab169c049ff84dc8c083","529f259a-df66-4283-bc28-de3933c42e67","f67bd5ef-305b-4bf7-990b-3014778b14a0","Chancellor of Tales","{3}{U}","Creature — Faerie Advisor","Flying
Whenever you cast an Adventure spell, you may copy it. You may choose new targets for the copy.","Flying","normal","2","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","spell_history","spell_copy_retarget","Flying works; Adventure cast filter and untargeted observed-spell copy/new targets missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-core/src/engine/casting.rs;tricerules/tricerules-core/src/engine/history.rs","https://scryfall.com/card/woe/45/chancellor-of-tales?utm_source=api","https://api.scryfall.com/cards/f67bd5ef-305b-4bf7-990b-3014778b14a0/rulings"
"101","WOE-uncommon","11","274bf8bf32e4968e00bf3bcda096e7dcdfebd16cc68549c87be458023f08e771","0828d891-f7c3-4e51-b42e-6ce88d48ac8b","859419d3-cd15-4362-98b3-a7ff98e29692","Icewrought Sentry","{2}{U}","Creature — Elemental Soldier","Vigilance
Whenever this creature attacks, you may pay {1}{U}. When you do, tap target creature an opponent controls.
Whenever you tap an untapped creature an opponent controls, this creature gets +2/+1 until end of turn.","Vigilance","normal","2","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","tap_observer","","Vigilance and paid attack/reflexive tap work; actor-attributed tap payoff missing.","tricerules/tricerules-core/src/engine/mod.rs;tricerules/tricerules-core/src/engine/resolution/misc.rs;tricerules/tricerules-core/src/engine/triggers.rs","https://scryfall.com/card/woe/55/icewrought-sentry?utm_source=api","https://api.scryfall.com/cards/859419d3-cd15-4362-98b3-a7ff98e29692/rulings"
"102","WOE-uncommon","12","29f1b758d5f4dd07c9bf99d2da76eddfc739933af485ce4ea15d628a6c33afff","07c3e91c-3593-4797-b7be-ef4fb2913cef","4efd1963-fe71-42c1-8ad7-53fd80145ca6","Dream Spoilers","{3}{B}","Creature — Faerie Warlock","Flying
Whenever you cast a spell during an opponent's turn, up to one target creature an opponent controls gets -1/-1 until end of turn.","Flying","normal","2","2","[]","full_now","composable_ron","Data","","","Conditionally granted cast trigger during opponents' turns; optional negative-pump target.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/85/dream-spoilers?utm_source=api","https://api.scryfall.com/cards/4efd1963-fe71-42c1-8ad7-53fd80145ca6/rulings"
"103","WOE-uncommon","13","2a2f0c79ecf12af56f10b0e7f14f72699993e1947eadfb0dd269a50769fdfe12","ad2793f3-a36f-4a09-a38f-eb98ce0a2b79","47ca4926-b5ac-405a-8b58-f8db6df400ff","The Witch's Vanity","{1}{B}","Enchantment — Saga","(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Destroy target creature an opponent controls with mana value 2 or less.
II — Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
III — Create a Wicked Role token attached to target creature you control.","Role token; Food","saga","","","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","saga","role_token","Saga lifecycle and attached Role chapter missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/119/the-witchs-vanity?utm_source=api","https://api.scryfall.com/cards/47ca4926-b5ac-405a-8b58-f8db6df400ff/rulings"
"104","WOE-uncommon","14","2b9b8c7ae4b6df31e388ffc3494209f65bfa7dee4b9def75cf379131679281b9","8068f80f-88ee-4c0b-a0fb-3a6337f83f22","b88a762d-19ed-451d-a3a9-b3e7eea40f67","Johann, Apprentice Sorcerer","{2}{U}{R}","Legendary Creature — Human Wizard Sorcerer","You may look at the top card of your library any time.
Once each turn, you may cast an instant or sorcery spell from the top of your library. (You still pay its costs. Timing rules still apply.)","","normal","2","5","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","library_casting","","Continuous private top visibility and once-per-turn top-library casting absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/207/johann-apprentice-sorcerer?utm_source=api","https://api.scryfall.com/cards/b88a762d-19ed-451d-a3a9-b3e7eea40f67/rulings"
"105","WOE-uncommon","15","312fc29006b6fbf7bfb427f3da433f7e90853032b6f50b1972a3209dc38c1f60","73992788-8084-459c-8375-9ccc8579c5d7","c14d9fc0-bfbf-4359-93bf-5e53466965d6","Succumb to the Cold","{2}{U}","Instant","Tap one or two target creatures an opponent controls. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)","","normal","","","[]","full_now","composable_ron","Data","","","One-or-two target group with tap/stun effects.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/72/succumb-to-the-cold?utm_source=api","https://api.scryfall.com/cards/c14d9fc0-bfbf-4359-93bf-5e53466965d6/rulings"
"106","WOE-uncommon","16","3245a8f95db47eff856a94525d9435989d54a7c450754d326ef1b44c33b1810b","b4fc198f-3595-4880-ad12-96c18fbf9c33","8faf36da-bbad-4d6e-a530-502d47a2dd23","Ego Drain","{B}","Sorcery","Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. If you don't control a Faerie, exile a card from your hand.","","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","result_continuation","","Revealed-hand discard works; subsequent self hand-exile branch needs non-targeting player subject.","tricerules/tricerules-cards/src/primitives/effects.rs","https://scryfall.com/card/woe/86/ego-drain?utm_source=api","https://api.scryfall.com/cards/8faf36da-bbad-4d6e-a530-502d47a2dd23/rulings"
"107","WOE-uncommon","17","3596e512ec546cc36c6f034572e65bf0c13f123045cc569e19747bba8186213c","debdfab7-454f-4fec-9ee8-aa5b570ea7fb","92652c41-1239-4299-a486-11fe1a96e912","Agatha's Champion","{4}{G}","Creature — Human Knight","Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Trample
When this creature enters, if it was bargained, it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)","Trample; Fight; Bargain","normal","4","4","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","optional_cast_payment","","Trample works; Bargain and linked entry fight receipt missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/160/agathas-champion?utm_source=api","https://api.scryfall.com/cards/92652c41-1239-4299-a486-11fe1a96e912/rulings"
"108","WOE-uncommon","18","37a21a8616f077ef608e1a3a41fe8e0f45be0e931f5e4fd22ad89499f76d83ae","22d82f4c-2896-477e-8d20-8fe43acd4ba2","5ebac73a-1ecf-4e6d-87b1-ea560bfeb064","Picklock Prankster // Free the Fae","{1}{U} // {1}{U}","Creature — Faerie Rogue // Instant — Adventure","Picklock Prankster: Flying, vigilance
---
Free the Fae: Mill four cards. Then put an instant, sorcery, or Faerie card from among the milled cards into your hand.","Flying; Vigilance; Mill","adventure","1","3","[{""name"":""Picklock Prankster"",""mana_cost"":""{1}{U}"",""type_line"":""Creature — Faerie Rogue"",""oracle_text"":""Flying, vigilance"",""power"":""1"",""toughness"":""3"",""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null},{""name"":""Free the Fae"",""mana_cost"":""{1}{U}"",""type_line"":""Instant — Adventure"",""oracle_text"":""Mill four cards. Then put an instant, sorcery, or Faerie card from among the milled cards into your hand."",""power"":null,""toughness"":null,""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null}]","partial_now","capability_gap","SharedPrimitiveOrMechanic","result_continuation","","Flying/vigilance and Adventure mill work; constrained milled-card selection missing.","tricerules/tricerules-cards/src/primitives/effects.rs","https://scryfall.com/card/woe/64/picklock-prankster-free-the-fae?utm_source=api","https://api.scryfall.com/cards/5ebac73a-1ecf-4e6d-87b1-ea560bfeb064/rulings"
"109","WOE-uncommon","19","3d2af6928b2d9f832f2ef62e96f3fd538b4a75d0cc69f48bf0765cf9bf862a25","fba2fa87-3f2a-4a9f-a19e-a1f9dada4118","e053d330-d0a2-4468-afba-42bf165b8fbf","Gallant Pie-Wielder","{2}{W}","Creature — Dwarf Knight","First strike
Celebration — This creature has double strike as long as two or more nonland permanents entered the battlefield under your control this turn.","Celebration; First strike","normal","2","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","entry_history_filter","","First strike works; exact nonland Celebration count missing.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/mod.rs;tricerules/tricerules-core/src/engine/triggers.rs","https://scryfall.com/card/woe/15/gallant-pie-wielder?utm_source=api","https://api.scryfall.com/cards/e053d330-d0a2-4468-afba-42bf165b8fbf/rulings"
"110","WOE-uncommon","20","449505b0fb1630e37212516b037b3a846b087b15f00f2b33d1fd102b96ec2128","bcae7f20-b601-4669-b3a7-c32ed0c6b9d3","a811b2cb-ffc7-4100-ac3e-bc4125842bb2","Korvold and the Noble Thief","{3}{R}","Enchantment — Saga","(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
III — Exile the top three cards of target opponent's library. You may play those cards this turn.","Treasure","saga","","","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","saga","result_continuation","Saga lifecycle and opponent multi-card impulse cohort missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/139/korvold-and-the-noble-thief?utm_source=api","https://api.scryfall.com/cards/a811b2cb-ffc7-4100-ac3e-bc4125842bb2/rulings"
"111","WOE-uncommon","21","48664f6f759c2b5be1e0d8a5f3a990a176d904517ed55f003364cb85e0247a65","17916cf9-1e6c-41bd-96ce-2b050d828838","3d2d5a71-d6e1-4c96-9a53-0e370047a56e","Cursed Courtier","{2}{W}","Creature — Human Noble","Lifelink
When this creature enters, create a Cursed Role token attached to it. (Enchanted creature is 1/1.)","Lifelink; Role token","normal","3","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","role_token","","Lifelink works; attached Cursed Role ETB missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/9/cursed-courtier?utm_source=api","https://api.scryfall.com/cards/3d2d5a71-d6e1-4c96-9a53-0e370047a56e/rulings"
"112","WOE-uncommon","22","4c81a47015eb2129b8fbcfa97f02e02be749ce842f357722db8119acec5a9957","4bcf4f12-470e-4f73-a19a-643a20084e16","27f53bed-7075-4303-aa9e-fcca0a266e19","Night of the Sweets' Revenge","{3}{G}","Enchantment","When this enchantment enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Foods you control have ""{T}: Add {G}.""
{5}{G}{G}, Sacrifice this enchantment: Creatures you control get +X/+X until end of turn, where X is the number of Foods you control. Activate only as a sorcery.","Food","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","activated_grant","quantity","Food ETB works; subtype-scoped ability grant and Food-count mass pump missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-core/src/engine/history.rs","https://scryfall.com/card/woe/178/night-of-the-sweets-revenge?utm_source=api","https://api.scryfall.com/cards/27f53bed-7075-4303-aa9e-fcca0a266e19/rulings"
"113","WOE-uncommon","23","54bb7feb39458fff5d34c8d2ef1913ed1c7e521cd43daeefe78ab8ba3900aa28","c736935a-e006-4a67-b942-e8ccf1cd9abb","600bc36a-3ef0-459c-9a93-94ec45b8c3d9","Sharae of Numbing Depths","{2}{W}{U}","Legendary Creature — Merfolk Wizard","When Sharae enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Whenever you tap one or more untapped creatures your opponents control, draw a card. This ability triggers only once each turn.","","normal","2","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","tap_observer","trigger_budget","ETB tap/stun works; attributed batch tap observer and per-turn cap missing.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-core/src/engine/mod.rs;tricerules/tricerules-core/src/engine/resolution/misc.rs;tricerules/tricerules-core/src/engine/triggers.rs;tricerules/tricerules-core/src/state.rs","https://scryfall.com/card/woe/213/sharae-of-numbing-depths?utm_source=api","https://api.scryfall.com/cards/600bc36a-3ef0-459c-9a93-94ec45b8c3d9/rulings"
"114","WOE-uncommon","24","568aee3392b741cb84c625bb188d28f7ee0c8eed55c47a2a7fa4b0f23ed4e2a7","5005df36-a100-492d-89b9-e221793cfb56","559bacc8-facc-4d93-90b5-8ac21d3246f5","Tempest Hart // Scan the Clouds","{3}{G} // {1}{U}","Creature — Elemental Elk // Instant — Adventure","Tempest Hart: Trample
Whenever you cast a spell with mana value 5 or greater, put a +1/+1 counter on this creature.
---
Scan the Clouds: Draw two cards, then discard two cards. (Then exile this card. You may cast the creature later from exile.)","Trample","adventure","3","4","[{""name"":""Tempest Hart"",""mana_cost"":""{3}{G}"",""type_line"":""Creature — Elemental Elk"",""oracle_text"":""Trample\nWhenever you cast a spell with mana value 5 or greater, put a +1/+1 counter on this creature."",""power"":""3"",""toughness"":""4"",""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null},{""name"":""Scan the Clouds"",""mana_cost"":""{1}{U}"",""type_line"":""Instant — Adventure"",""oracle_text"":""Draw two cards, then discard two cards. (Then exile this card. You may cast the creature later from exile.)"",""power"":null,""toughness"":null,""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null}]","full_now","composable_ron","Data","","","Trample, MV-bounded cast counter trigger, Adventure DrawDiscard.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/238/tempest-hart-scan-the-clouds?utm_source=api","https://api.scryfall.com/cards/559bacc8-facc-4d93-90b5-8ac21d3246f5/rulings"
"115","WOE-uncommon","25","56c66abf3fdeeedb1b36fe38a265dbc7f4dfedb03d1597818ac581b7796e6dfe","1189b5d5-ca8f-4b4e-a5f1-91122a485cf3","ccdcbb1d-702e-4832-8eed-7ed3deffefe3","Boundary Lands Ranger","{1}{R}","Creature — Human Ranger","At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may discard a card. If you do, draw a card.","","normal","2","2","[]","full_now","composable_ron","Data","","","Combat trigger with power-threshold intervening condition and optional discard payment.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/123/boundary-lands-ranger?utm_source=api","https://api.scryfall.com/cards/ccdcbb1d-702e-4832-8eed-7ed3deffefe3/rulings"
"116","WOE-uncommon","26","5ece832aa2732b0b96c179a72d72146c8e14dc76fe6be2e14a999e642473ea72","f460ff80-8175-43f7-9810-540cf3817085","967a4f27-8cd6-437d-8c05-8aedbc7ddc4b","Collector's Vault","{2}","Artifact","{2}, {T}: Draw a card, then discard a card. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","Treasure","normal","","","[]","full_now","composable_ron","Data","","","Paid tap activation with DrawDiscard and Treasure creation.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/244/collectors-vault?utm_source=api","https://api.scryfall.com/cards/967a4f27-8cd6-437d-8c05-8aedbc7ddc4b/rulings"
"117","WOE-uncommon","27","63fba8ee9d897f4949ce98a4f9b12828eee9a61cde9ee65ab51030f865ba09da","b07bf08b-d9ec-429f-be6d-a7afa27c60c4","c40be735-0780-459b-8dd2-a298575beaab","Tenacious Tomeseeker","{2}{U}","Creature — Human Knight","Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
When this creature enters, if it was bargained, return target instant or sorcery card from your graveyard to your hand.","Bargain","normal","3","2","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","optional_cast_payment","","Bargain receipt is necessary for useful ETB recursion.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/74/tenacious-tomeseeker?utm_source=api","https://api.scryfall.com/cards/c40be735-0780-459b-8dd2-a298575beaab/rulings"
"118","WOE-uncommon","28","676ebc649a31a27a85b6b5ce07634991b9e0435aee889188215e4c78d5f8a954","322e3bc1-2dfa-4d5f-848f-a82d9ce02a67","af07c47f-8b4e-43cb-b469-2efb82aa5590","Gadwick's First Duel","{1}{U}","Enchantment — Saga","(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create a Cursed Role token attached to up to one target creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature is 1/1.)
II — Scry 2.
III — When you next cast an instant or sorcery spell with mana value 3 or less this turn, copy that spell. You may choose new targets for the copy.","Role token; Scry","saga","","","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","saga","role_token;spell_copy_retarget","Saga/Role lifecycle and delayed cast-copy/new-target flow missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/51/gadwicks-first-duel?utm_source=api","https://api.scryfall.com/cards/af07c47f-8b4e-43cb-b469-2efb82aa5590/rulings"
"119","WOE-uncommon","29","67cd5324808a88b28fe88587b031d77049217917caca1a7c250ee9b6c60dfa3f","ba610f08-61a7-47fe-9a80-32b5ce51b118","b9f10623-4783-4773-b9c8-a5a2bcfdb5d9","Woodland Acolyte // Mend the Wilds","{2}{W} // {G}","Creature — Human Cleric // Instant — Adventure","Woodland Acolyte: When this creature enters, draw a card.
---
Mend the Wilds: Put target permanent card from your graveyard on top of your library. (Then exile this card. You may cast the creature later from exile.)","","adventure","2","2","[{""name"":""Woodland Acolyte"",""mana_cost"":""{2}{W}"",""type_line"":""Creature — Human Cleric"",""oracle_text"":""When this creature enters, draw a card."",""power"":""2"",""toughness"":""2"",""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null},{""name"":""Mend the Wilds"",""mana_cost"":""{G}"",""type_line"":""Instant — Adventure"",""oracle_text"":""Put target permanent card from your graveyard on top of your library. (Then exile this card. You may cast the creature later from exile.)"",""power"":null,""toughness"":null,""colors"":null,""color_indicator"":null,""loyalty"":null,""defense"":null}]","full_now","composable_ron","Data","","","Creature ETB draw; Adventure permanent-card graveyard-to-library-top union.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/241/woodland-acolyte-mend-the-wilds?utm_source=api","https://api.scryfall.com/cards/b9f10623-4783-4773-b9c8-a5a2bcfdb5d9/rulings"
"120","WOE-uncommon","30","688fde268234dee5c5c62120d48ce0ff280e49b8a6c8a09e424307afbaa13334","fd0f8fdc-4065-41f4-b8fb-ecb8f185774d","b6516b8f-ecfb-401e-ba8e-bf561aa2be64","Royal Treatment","{G}","Instant","Target creature you control gains hexproof until end of turn. Create a Royal Role token attached to that creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)","Role token","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","role_token","","Hexproof grant works; attached Royal Role missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/woe/183/royal-treatment?utm_source=api","https://api.scryfall.com/cards/b6516b8f-ecfb-401e-ba8e-bf561aa2be64/rulings"
"121","LCI-common","1","00f50068e108b2d93111ce9d5b5a2e83edd2aa4ec3280bfae9b187d10bfdc42d","05da6b06-fb5f-41e8-b0a2-d949646e36d9","adcae196-dbcc-44d5-b700-c57b0b646483","Mephitic Draught","{1}{B}","Artifact","When this artifact enters or is put into a graveyard from the battlefield, you draw a card and you lose 1 life.","","normal","","","[]","full_now","composable_ron","Data","","","Separate self-entry and WhenSelfDies triggers; self graveyard-entry match supports noncreatures.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/lci/112/mephitic-draught?utm_source=api","https://api.scryfall.com/cards/adcae196-dbcc-44d5-b700-c57b0b646483/rulings"
"122","LCI-common","2","01d73c2951f695983c6534f433c262af97f8ee6b246c119e1c7e0326d98a59b4","d4a9d63a-5a8a-4f51-9e49-43d6dc3234b1","692fe4e8-13b4-4bec-938e-a8073a7fbd71","Greedy Freebooter","{B}","Creature — Human Pirate","When this creature dies, scry 1 and create a Treasure token. (To scry 1, look at the top card of your library. You may put that card on the bottom. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","Treasure; Scry","normal","1","1","[]","full_now","composable_ron","Data","","","Death Scry and Treasure creation.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/lci/109/greedy-freebooter?utm_source=api","https://api.scryfall.com/cards/692fe4e8-13b4-4bec-938e-a8073a7fbd71/rulings"
"123","LCI-common","3","0bf539e078f73fd3aeff15a2a2be3fdf8da34c6119902a7c17e73120324f4f6d","db65f874-6bf3-4fdb-a977-10b01b7ee2e9","8a7738fb-0a1b-4010-b8c0-e1129739c765","Waterwind Scout","{2}{U}","Creature — Merfolk Scout","Flying
When this creature enters, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")","Flying; Explore","normal","2","2","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","explore","","Flying works; Map token requires Explore resolution.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/lci/84/waterwind-scout?utm_source=api","https://api.scryfall.com/cards/8a7738fb-0a1b-4010-b8c0-e1129739c765/rulings"
"124","LCI-common","4","0bf91d9391f0a21036a31e4cc545640959af9fecded49efb3204c8b30cf59571","861eb7d7-7616-4620-a4fd-4b8c3bf00dd1","e9681a54-6413-4ff4-b6b1-ee4decb25bfa","Promising Vein","","Land — Cave","{T}: Add {C}.
{1}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.","","normal","","","[]","full_now","composable_ron","Data","","","Mana ability and paid tap/sacrifice basic-land search.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/lci/279/promising-vein?utm_source=api","https://api.scryfall.com/cards/e9681a54-6413-4ff4-b6b1-ee4decb25bfa/rulings"
"125","LCI-common","5","0e06dc8b5320febccee362ccd914c06be988716088299a33fa40a6834a955777","26b441b9-fdfb-43e2-bc02-b358653eadf4","23dddddb-5409-4c28-bf32-e6473f2cc620","Over the Edge","{1}{G}","Sorcery","Choose one —
• Destroy target artifact or enchantment.
• Target creature you control explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard. Then repeat this process.)","Explore","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","explore","","Destroy mode works; repeated Explore missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/lci/205/over-the-edge?utm_source=api","https://api.scryfall.com/cards/23dddddb-5409-4c28-bf32-e6473f2cc620/rulings"
