"sample_id","stratum","stratum_rank","selection_hash","oracle_id","name","mana_cost","type_line","oracle_text","keywords","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","scryfall_uri"
"59","FDN","59","c91110dcdb860869464cbc6452bcbb4d821f647551cefbcc3c2731395213b0aa","1d4e7422-2e26-49ce-beef-08f61583089a","Armasaur Guide","{4}{W}","Creature — Dinosaur","Vigilance (Attacking doesn't cause this creature to tap.)
Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control.","Vigilance","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/3/armasaur-guide?utm_source=api"
"60","FDN","60","cc88176efca3e62f80ee8a6607adfc4faf220009feb72327457f43987d85a61c","2e9289d6-dbc6-456d-88cf-d1f534e731d6","Firebrand Archer","{1}{R}","Creature — Human Archer","Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/196/firebrand-archer?utm_source=api"
"61","DSK","1","03bf8bc5b2361263ca81c02f544f9d765ead52ac35702c06dbc3449cc845123a","437553c1-0aa4-4093-b6e5-c175ede5f278","Malevolent Chandelier","{6}","Artifact Creature — Construct","Flying
{2}: Put target card from a graveyard on the bottom of its owner's library. Activate only as a sorcery.","Flying","blocked","","primitive","graveyard_to_library","","No targeted zone effect moves a card from a graveyard to the bottom of its owner library.","https://scryfall.com/card/dsk/252/malevolent-chandelier?utm_source=api"
"62","DSK","2","0423325bcddf7669b6eeee9c10c358457d59f3f2ab2350c3cdef020a15e4b31c","3724cc42-1bbd-4a11-8469-ab8492ddba52","Fear of Lost Teeth","{B}","Enchantment Creature — Nightmare","When this creature dies, it deals 1 damage to any target and you gain 1 life.","","partial_now","","system","planeswalker_targets","","The dies trigger can damage creatures or players and gain life, but not damage planeswalkers.","https://scryfall.com/card/dsk/97/fear-of-lost-teeth?utm_source=api"
"63","DSK","3","06a006530829c578cfbf09c1552188f409f8d7b0f5dbb8d8d0a05668f3971a68","e7aeabd9-a72c-47ee-b275-b025d7142766","Bashful Beastie","{4}{G}","Creature — Beast","When this creature dies, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)","Manifest; Manifest dread","blocked","","system","manifest_dread","","Manifest dread needs a private two-card choice, a face-down battlefield object, reveal permissions, and turn-face-up special actions.","https://scryfall.com/card/dsk/169/bashful-beastie?utm_source=api"
"64","DSK","4","0b62b2d8b65136034962a46dd890a170b49b2ecd6a5e734124654b01787ca047","d8ce3f18-26fe-47e8-be8b-0d89d7de7038","Acrobatic Cheerleader","{1}{W}","Creature — Human Survivor","Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once.","Survival","blocked","","system","second_main_phase_trigger","counter_types","Survival needs a second-main-phase intervening-if trigger and a once-only trigger guard; flying counters are also absent.","https://scryfall.com/card/dsk/1/acrobatic-cheerleader?utm_source=api"
"65","DSK","5","0e8f50fd581ab54eb7ca1e846393248722d9050a23e358da727ce7db11752c9d","371762f6-e07b-4c0e-a4ee-6c35a3809eb6","Spectral Snatcher","{4}{B}{B}","Creature — Spirit","Ward—Discard a card. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player discards a card.)
Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)","Landcycling; Ward; Typecycling; Cycling; Swampcycling","blocked","","system","cycling","ward","Cycling must activate from hand and search by land subtype; this card also needs discard-cost Ward.","https://scryfall.com/card/dsk/116/spectral-snatcher?utm_source=api"
"66","DSK","6","183c0d91d862291c11836676cf16c6f041d41026f2bec91f8eb501a267de2fcb","8fd88b98-9899-4bc0-a4b7-7ef6fba36dfd","Glimmerlight","{2}","Artifact — Equipment","When this Equipment enters, create a 1/1 white Glimmer enchantment creature token.
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","Equip","full_now","equipment_and_auras","data","","","All functional Oracle clauses compose from the current equipment and auras vocabulary.","https://scryfall.com/card/dsk/249/glimmerlight?utm_source=api"
"67","DSK","7","18d74c5c0c98ad924cf776f4b50de5220c3172a1255c620ee0f6cb561ecd5657","e8ff3e99-eca9-44a5-baac-99ee34df3c36","Shepherding Spirits","{4}{W}{W}","Creature — Spirit","Flying
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)","Flying; Plainscycling; Landcycling; Typecycling; Cycling","blocked","","system","cycling","","Cycling needs an activated ability in hand with discard and land-subtype search.","https://scryfall.com/card/dsk/31/shepherding-spirits?utm_source=api"
"68","DSK","8","1b59ecbcb86afb0bd81661f054230faca7b0a32dc6dfcd3130fdfb7a0202c8ce","8f69bd3a-244e-42d8-bfac-5a426f4b54b4","Razortrap Gorge","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {B} or {R}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/267/razortrap-gorge?utm_source=api"
"69","DSK","9","1bd30eb18f9c1b1595a7293aef8d8f880995d0ca8497bff1857029fe0239d6d1","04c4250e-014a-4067-80e8-4134069354f7","Flesh Burrower","{1}{G}","Creature — Insect","Deathtouch
Whenever this creature attacks, another target creature you control gains deathtouch until end of turn.","Deathtouch","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/dsk/178/flesh-burrower?utm_source=api"
"70","DSK","10","225b7f6efa2c81635c0dae5a9cced2366eae9f40557e67726526e1cc82a9710b","4415b65d-5473-4b19-94f7-e5cf4ce64d5e","Cracked Skull","{2}{B}","Enchantment — Aura","Enchant creature
When this Aura enters, look at target player's hand. You may choose a nonland card from it. That player discards that card.
When enchanted creature is dealt damage, destroy it.","Enchant","partial_now","","primitive","attached_damage_trigger","","The Aura attachment and controller-chosen hand discard work, but damage dealt to the attached creature cannot trigger destruction.","https://scryfall.com/card/dsk/88/cracked-skull?utm_source=api"
"71","DSK","11","22df228db2b0961429848e13d5bb05a03cb852c2f932a2e9e4921c2c631a84b0","fb2600a8-0ba6-4888-ac8a-f206469d4c71","Fear of Immobility","{4}{W}","Enchantment Creature — Nightmare","When this creature enters, tap up to one target creature. If an opponent controls that creature, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)","","partial_now","","system","stun_counters","","The optional ETB tap target works, but stun counters and their untap replacement are not modeled.","https://scryfall.com/card/dsk/10/fear-of-immobility?utm_source=api"
"72","DSK","12","2bdc411e0e6ebbe86ef710c721452ead5752ac412c3b33f9eba7dc8125105448","7e063f60-876a-48fe-8bc6-9888180176d1","Wary Watchdog","{1}{G}","Creature — Dog","When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil","blocked","","system","surveil","","The enter-or-die triggers exist, but the surveil action does not.","https://scryfall.com/card/dsk/206/wary-watchdog?utm_source=api"
"73","DSK","13","2c22469939f896a48c1b5c7cd421fb3a44994391516e5295632b0d389ccecae8","20f2fc0e-b1d4-4f80-9c7a-a9fb25fef7b8","Trapped in the Screen","{2}{W}","Enchantment","Ward {2} (Whenever this enchantment becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this enchantment enters, exile target artifact, creature, or enchantment an opponent controls until this enchantment leaves the battlefield.","Ward","blocked","","system","linked_exile","ward","The card needs generation-aware linked exile and Ward.","https://scryfall.com/card/dsk/36/trapped-in-the-screen?utm_source=api"
"74","DSK","14","2effba8a513d58421733c91fc7eb11129488fbc34ac87322e02d27c8dbd0a3da","c56cd2ec-5907-4282-9162-d93b7dfd63b5","Lakeside Shack","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {G} or {U}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/262/lakeside-shack?utm_source=api"
"75","DSK","15","320db47bae4b7b74bdab81f65963d0c4a5a9d619d4df7bd958ce964d5c956f25","d0732ebf-91ad-4e3c-a09a-f410d20587fc","Ragged Playmate","{1}{R}","Artifact Creature — Toy","{1}, {T}: Target creature with power 2 or less can't be blocked this turn.","","full_now","activated_creatures","data","","","All functional Oracle clauses compose from the current activated creatures vocabulary.","https://scryfall.com/card/dsk/150/ragged-playmate?utm_source=api"
"76","DSK","16","37b8f6f54a3dc00adb8ef221c5928c59b6b2721d6ef56ede0948a6fbbd717747","7ac608bc-dc2a-43c9-9b3b-1b985c121d60","Seized from Slumber","{4}{W}","Instant","This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.","","partial_now","","system","target_dependent_cost_reduction","","Destroying the creature works, but total spell cost cannot depend on the chosen target being tapped.","https://scryfall.com/card/dsk/28/seized-from-slumber?utm_source=api"
"77","DSK","17","389c07e489362ee9198a70cab2b54a99a1458e3eb86f0651ddfcc9eaaa7aac65","f6d8e6cb-0878-4f2c-9a89-ce84cb4f5bbc","Rampaging Soulrager","{2}{R}","Creature — Spirit","This creature gets +3/+0 as long as there are two or more unlocked doors among Rooms you control.","","blocked","","system","room_state_condition","","The continuous modifier depends on unlocked-door state, which is not represented.","https://scryfall.com/card/dsk/151/rampaging-soulrager?utm_source=api"
"78","DSK","18","3d7014441b396111f2979569fce1022dcb4f19a9b7c09e4c7cefaf607d2deeb7","474f0675-4088-4f77-8081-f9ed7d492837","Say Its Name","{1}{G}","Sorcery","Mill three cards. Then you may return a creature or land card from your graveyard to your hand.
Exile this card and two other cards named Say Its Name from your graveyard: Search your graveyard, hand, and/or library for a card named Altanak, the Thrice-Called and put it onto the battlefield. If you search your library this way, shuffle. Activate only as a sorcery.","Mill","blocked","","custom","multi_zone_named_search","disjunctive_graveyard_filter","The spell needs an optional creature-or-land graveyard return, while the graveyard ability searches three zones for a named card.","https://scryfall.com/card/dsk/197/say-its-name?utm_source=api"
"79","DSK","19","3f44a1e3de676c655a737f8510bd91018e7cae62cdd12901526c198f1537d3c0","878e5e0d-beb9-4f8d-a640-62140c907e52","Fanatic of the Harrowing","{3}{B}","Creature — Human Cleric","When this creature enters, each player discards a card. If you discarded a card this way, draw a card.","","blocked","","system","player_set_discard_result","","The ETB effect needs simultaneous untargeted each-player discard and a branch based on what its controller discarded.","https://scryfall.com/card/dsk/96/fanatic-of-the-harrowing?utm_source=api"
"80","DSK","20","47f88486005418aabc1452ca8458bf1ce6b29c1256f35a110fda67631c99f0b5","fa7c8092-94da-4147-aa90-0a951d2a8be8","Impossible Inferno","{4}{R}","Instant","Impossible Inferno deals 6 damage to target creature.
Delirium — If there are four or more card types among cards in your graveyard, exile the top card of your library. You may play it until the end of your next turn.","Delirium","partial_now","","system","impulse_play","graveyard_card_type_count","Creature damage is supported, but delirium and permission to play an exiled top card through the next turn are absent.","https://scryfall.com/card/dsk/140/impossible-inferno?utm_source=api"
"81","DSK","21","4986235049c193c57ca3a85f16918f0480933c7acaa1d54282ada7764861a9e7","a26820b9-3bec-41b2-9812-99e4a2211297","Glimmerburst","{3}{U}","Instant","Draw two cards. Create a 1/1 white Glimmer enchantment creature token.","","full_now","value_spells","data","","","All functional Oracle clauses compose from the current value spells vocabulary.","https://scryfall.com/card/dsk/62/glimmerburst?utm_source=api"
"82","DSK","22","4adbc53f9d60ba50ec0e9af34f962f15a803205dd09e89834a506ff3b529b7b1","9fb95813-05e5-4aa0-bab9-53d8a071fe6a","Appendage Amalgam","{2}{B}","Enchantment Creature — Horror","Flash
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil; Flash","blocked","","system","surveil","","The attack trigger exists, but the surveil action does not.","https://scryfall.com/card/dsk/83/appendage-amalgam?utm_source=api"
"83","DSK","23","4d72bd15f2f3aec6e7279602896fff9fa4c66ed9c38f4c66a6685ff27e2d86ac","114725ef-ac81-4d13-9153-0a303c3ce9c4","Innocuous Rat","{1}{B}","Creature — Rat","When this creature dies, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)","Manifest; Manifest dread","blocked","","system","manifest_dread","","Manifest dread needs private library choice and face-down permanent infrastructure.","https://scryfall.com/card/dsk/103/innocuous-rat?utm_source=api"
"84","DSK","24","4e632fe7af1458dbca943e044837348990b9040905a150e0b11fa4f19af128c5","dcfa0476-e88f-43b4-8011-d78a3de97f2a","Spineseeker Centipede","{2}{G}","Creature — Insect","When this creature enters, search your library for a basic land card, reveal it, put it into your hand, then shuffle.
Delirium — This creature gets +1/+2 and has vigilance as long as there are four or more card types among cards in your graveyard.","Delirium","partial_now","","primitive","graveyard_card_type_count","","The ETB basic-land search works, but delirium cannot count distinct card types in a graveyard for the static modifier.","https://scryfall.com/card/dsk/199/spineseeker-centipede?utm_source=api"
"85","DSK","25","4e702b95c458fbce11fd148f4b6917838fb2d1f3d3ca3304993e9232f7a678e0","d14f313c-fea6-49c4-8197-5b74ee584a6b","Scorching Dragonfire","{1}{R}","Instant","Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.","","partial_now","","system","death_exile_replacement","planeswalker_targets","Creature damage works, but the affected object cannot be exiled instead of dying and planeswalkers are absent.","https://scryfall.com/card/dsk/156/scorching-dragonfire?utm_source=api"
"86","DSK","26","4edc7ea8d86fdac768bb1f9b7aa6b81c90ce5516d60ef54d55e963cbaa92d189","58d87cfe-7402-43c3-81ce-13de8cd04005","Piranha Fly","{1}{U}","Creature — Fish Insect","Flying
This creature enters tapped.","Flying","full_now","keyword_creatures","data","","","All functional Oracle clauses compose from the current keyword creatures vocabulary.","https://scryfall.com/card/dsk/70/piranha-fly?utm_source=api"
"87","DSK","27","50909832ca57721089193c44cf24a154f3e79865d2679a4078a59f7a02ebe000","4d01b62b-b924-4da5-8ff5-b2f29d7f19b2","Ticket Booth // Tunnel of Hate","{2}{R} // {4}{R}{R}","Enchantment — Room // Enchantment — Room","Ticket Booth: When you unlock this door, manifest dread.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)
---
Tunnel of Hate: Whenever you attack, target attacking creature gains double strike until end of turn.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)","Manifest; Manifest dread","blocked","","system","rooms","manifest_dread","Room split permanents, locked-door state, unlock actions, and manifest dread are absent.","https://scryfall.com/card/dsk/158/ticket-booth-tunnel-of-hate?utm_source=api"
"88","DSK","28","512034630b69cf93564f7ea5f3d16081ae52def566505ee7d1e1d85dbb8345d8","0eec9984-cd11-4a52-9234-469c6a5fb9aa","Abandoned Campground","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {W} or {U}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/255/abandoned-campground?utm_source=api"
"89","DSK","29","5856f1ac94ff466f4d5e8a35b015fabe8035116a4034cabfb1609ba67a539498","23d5d43c-ec78-42dd-a53e-a1ee91c94b1d","Erratic Apparition","{2}{U}","Creature — Spirit","Flying, vigilance
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature gets +1/+1 until end of turn.","Flying; Vigilance; Eerie","partial_now","","system","room_unlock_trigger","","The enchantment-entry half of eerie works, but a fully unlocked Room event is not published.","https://scryfall.com/card/dsk/54/erratic-apparition?utm_source=api"
"90","DSK","30","59dd6903f073f798caa83e5e8f8f29602589f4baa2df2eebba6fc305ae85d670","da554d71-1f13-49ae-9eb2-c778a23df08b","Living Phone","{2}{W}","Artifact Creature — Toy","When this creature dies, look at the top five cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","","blocked","","custom","library_filter_power","","The look-five choice must filter creature cards by printed or derived power, beyond the current card-type-only library filter.","https://scryfall.com/card/dsk/20/living-phone?utm_source=api"
"91","DSK","31","5d20b39aeb3c41d84541b9acb9a2ff770ef89eec23d2b03ac23264e824c7db4a","29326487-6d95-40a8-9bcc-f94ada4e27c3","Slavering Branchsnapper","{4}{G}{G}","Creature — Lizard","Trample
Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)","Landcycling; Trample; Forestcycling; Typecycling; Cycling","blocked","","system","cycling","","Cycling needs an activated ability in hand with discard and land-subtype search.","https://scryfall.com/card/dsk/198/slavering-branchsnapper?utm_source=api"
"92","DSK","32","5e145bd29056c39a3e0422ed9d2c9c2f8d950603373373434a695fdc926be263","993b7b94-ed06-422d-9c7e-52a74ce9d045","Derelict Attic // Widow's Walk","{2}{B} // {3}{B}","Enchantment — Room // Enchantment — Room","Derelict Attic: When you unlock this door, you draw two cards and you lose 2 life.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)
---
Widow's Walk: Whenever a creature you control attacks alone, it gets +1/+0 and gains deathtouch until end of turn.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)","","blocked","","system","rooms","","Room split permanents and unlock state/actions are not represented.","https://scryfall.com/card/dsk/93/derelict-attic-widows-walk?utm_source=api"
"93","DSK","33","5f3318645f24883374d39673af204931c38d2254a94f7df31657d3d6122de0a4","3d240726-5214-4493-8537-29bf65db1e4b","Unable to Scream","{U}","Enchantment — Aura","Enchant creature
Enchanted creature loses all abilities and is a Toy artifact creature with base power and toughness 0/2 in addition to its other types.
As long as enchanted creature is face down, it can't be turned face up.","Enchant","blocked","","system","characteristic_setting_and_ability_loss","face_down_permanents","The Aura needs ability removal, base P/T setting, additive artifact typing, and a restriction on turning the object face up.","https://scryfall.com/card/dsk/78/unable-to-scream?utm_source=api"
"94","DSK","34","624ea2027e2148125d64fb0d754ca1213a31aaea673496f5eaf9e959573c3d5b","e02abbc0-687b-4aef-95b8-bf18e199725a","Vicious Clown","{2}{R}","Creature — Human Clown","Whenever another creature you control with power 2 or less enters, this creature gets +2/+0 until end of turn.","","blocked","","primitive","trigger_event_power_filter","","Permanent-entry triggers cannot filter the entering creature by power.","https://scryfall.com/card/dsk/163/vicious-clown?utm_source=api"
"95","DSK","35","6373bf88ef29512d1cd3f7eaf3600751f8609ba8abfacc04f9e7779f9b51fa87","c2cdefeb-3176-4faf-be54-a62d31f777a5","Murky Sewer","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {U} or {B}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/263/murky-sewer?utm_source=api"
"96","DSK","36","63cdda666d3c011f7bcf3aab5b1bf5278425a44e8d9e8cb4b9e6cc7c4e51066b","4122720b-cad9-4ebb-b458-be71411c21e3","Glassworks // Shattered Yard","{2}{R} // {4}{R}","Enchantment — Room // Enchantment — Room","Glassworks: When you unlock this door, this Room deals 4 damage to target creature an opponent controls.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)
---
Shattered Yard: At the beginning of your end step, this Room deals 1 damage to each opponent.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)","","blocked","","system","rooms","","Room casting, unlocking, and locked-door state are required before either face can function faithfully.","https://scryfall.com/card/dsk/137/glassworks-shattered-yard?utm_source=api"
"97","DSK","37","69700523526f78bffb0c28ff67d8a640ea1e90e85cd746a934f07fcd2fa51ec8","452d98ae-0fa2-4cff-9e18-eecd76ddb20b","Anthropede","{3}{G}","Creature — Insect","Reach
When this creature enters, you may discard a card or pay {2}. When you do, destroy target Room.","Reach","blocked","","system","rooms","","The discard-or-pay reflexive branch is reusable, but Room objects and Room targets do not exist.","https://scryfall.com/card/dsk/167/anthropede?utm_source=api"
"98","DSK","38","6befc46753bfce2d89a3dd3b2767d75572e857b1fb668c775e961dc4207e7ac3","c8c632ab-14ec-44e1-ac00-81d48336320d","Neglected Manor","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {W} or {B}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/264/neglected-manor?utm_source=api"
"99","DSK","39","701440132e2351774382d82a83de4771f52cdd20a8f55936f1ea4bf725dc3eeb","55b0518e-9c87-4f0e-81c2-9c984f760be1","Twist Reality","{1}{U}{U}","Instant","Choose one —
• Counter target spell.
• Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)","Manifest; Manifest dread","partial_now","","system","manifest_dread","","The counterspell mode works, but the manifest-dread mode needs face-down permanent infrastructure.","https://scryfall.com/card/dsk/77/twist-reality?utm_source=api"
"100","DSK","40","708c0d2ba877413cf5172b99df9b37f926495eee584b3ae24496ff8aceed242c","c51da69b-7fd7-43a3-be29-c44fc0c36130","Cult Healer","{2}{W}","Creature — Human Doctor","Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature gains lifelink until end of turn.","Eerie","partial_now","","system","room_unlock_trigger","","The enchantment-entry half of eerie works, but a fully unlocked Room event is not published.","https://scryfall.com/card/dsk/2/cult-healer?utm_source=api"
"101","DSK","41","796ac11d7b03814def70dad74a7ef022044c5992598a435084f07dab2d8995d4","47b6d2ae-d3d7-41eb-9172-2076eb8d028d","Bleeding Woods","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {R} or {G}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/257/bleeding-woods?utm_source=api"
"102","DSK","42","7e8859120d46bb88df3a2ee2702d3d7492c988338726f7be9949699fc7639487","52478437-bb6c-48bb-855d-54a8a4d42d18","Fear of Surveillance","{1}{W}","Enchantment Creature — Nightmare","Vigilance
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil; Vigilance","blocked","","system","surveil","","The attack trigger exists, but the surveil action does not.","https://scryfall.com/card/dsk/11/fear-of-surveillance?utm_source=api"
"103","DSK","43","7edf7d50a3b2f8ae96ce7cf7e510429731acf63f455bc2d03fc81d710fd93464","8ec3c334-8a53-46d8-8cfb-c647c3a1ef74","Stalked Researcher","{1}{U}","Creature — Human Wizard","Defender
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature can attack this turn as though it didn't have defender.","Defender; Eerie","partial_now","","system","room_unlock_trigger","","The enchantment-entry trigger and temporary defender override work, but fully unlocking a Room cannot trigger it.","https://scryfall.com/card/dsk/73/stalked-researcher?utm_source=api"
"104","DSK","44","847496afd778e1c898f9f754ce82c1986fea3c07eca3a533a2140cf4b06025f1","6b348051-3ba8-4aa0-b337-b42d8ef8cbba","Hand That Feeds","{1}{R}","Creature — Mutant","Delirium — Whenever this creature attacks while there are four or more card types among cards in your graveyard, it gets +2/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)","Delirium","blocked","","primitive","graveyard_card_type_count","","Delirium cannot count distinct card types in the controller graveyard.","https://scryfall.com/card/dsk/139/hand-that-feeds?utm_source=api"
"105","DSK","45","87811a44c181392e73c05db1fdce796259d8c155c5f179240bf29a9ac5da020a","a37387f0-9d57-49ff-aa38-2c6b359e8916","Grab the Prize","{1}{R}","Sorcery","As an additional cost to cast this spell, discard a card.
Draw two cards. If the discarded card wasn't a land card, Grab the Prize deals 2 damage to each opponent.","","partial_now","","system","paid_card_characteristics_condition","","The discard additional cost and draw-two effect work, but resolution cannot inspect whether the paid card was a land.","https://scryfall.com/card/dsk/138/grab-the-prize?utm_source=api"
"106","DSK","46","8962a8242db432fa27f60c77c36b93d16f17197a958521d79ec5e4a29e470bfd","dc638413-c4f8-4f6a-a003-5ce8a10a8f94","Daggermaw Megalodon","{4}{U}{U}","Creature — Shark","Vigilance
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)","Islandcycling; Vigilance; Landcycling; Typecycling; Cycling","blocked","","system","cycling","","Cycling needs an activated ability in hand with discard and land-subtype search.","https://scryfall.com/card/dsk/48/daggermaw-megalodon?utm_source=api"
"107","DSK","47","8a316226912a4614921f68757e3b1a73534b70a6728f44dbfbffc967a3e36317","f7afb2c3-50ee-40f5-8b14-32f80c2bacd0","Bear Trap","{1}","Artifact","Flash
{3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.","Flash","full_now","activated_creatures","data","","","All functional Oracle clauses compose from the current activated creatures vocabulary.","https://scryfall.com/card/dsk/243/bear-trap?utm_source=api"
"108","DSK","48","8d9447b1728fbd1ce4f313ca705f699902d7c7b4e97515f8f9e2e17d0a73c9cb","5dbe4648-f4c9-4d26-98f5-58a7e53b149d","Frantic Strength","{2}{G}","Enchantment — Aura","Flash
Enchant creature
Enchanted creature gets +2/+2 and has trample.","Enchant; Flash","full_now","equipment_and_auras","data","","","All functional Oracle clauses compose from the current equipment and auras vocabulary.","https://scryfall.com/card/dsk/179/frantic-strength?utm_source=api"
"109","DSK","49","8ec5a623d1486feacc400b0548a982e52b59f3ab974e3c49e30a10fcae1181db","be0a3925-8e0d-4ef6-85cb-c9f5eef6b4bb","Turn Inside Out","{R}","Instant","Target creature gets +3/+0 until end of turn. When it dies this turn, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)","Manifest; Manifest dread","partial_now","","system","manifest_dread","","The temporary +3/+0 effect works, but the granted dies trigger cannot perform manifest dread.","https://scryfall.com/card/dsk/160/turn-inside-out?utm_source=api"
"110","DSK","50","90f883db3b3b093a54706e2df671e9691c03c655a749aeb6d9a1e9df3667468b","02a8b849-e708-427c-92fe-9a41bb0ec7fe","Friendly Teddy","{2}","Artifact Creature — Bear Toy","When this creature dies, each player draws a card.","","blocked","","primitive","player_set_draw","","Draw effects cannot affect each player from one trigger.","https://scryfall.com/card/dsk/247/friendly-teddy?utm_source=api"
"111","DSK","51","9f3f2e743a1dbce06405cb8c42ca1e72447143691a73616b1a764779f0e7d697","1056b27c-125c-4daa-a0c8-533efc9ccc32","Vanish from Sight","{3}{U}","Instant","Target nonland permanent's owner puts it on their choice of the top or bottom of their library. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil","blocked","","system","owner_library_placement_choice","surveil","The owner-choice top/bottom movement and the following surveil are both absent.","https://scryfall.com/card/dsk/82/vanish-from-sight?utm_source=api"
"112","DSK","52","a0294019aa95c83ee20bfdf6de5271f425e79181cdd68947f50d60283033be97","3a5b3405-a1e3-4aad-ab4e-1b8db2d1f3a8","Strangled Cemetery","","Land","This land enters tapped unless a player has 13 or less life.
{T}: Add {B} or {G}.","","partial_now","","primitive","conditional_enters_tapped","","The mana ability works, but entry tapped cannot be conditional on any player life total.","https://scryfall.com/card/dsk/268/strangled-cemetery?utm_source=api"
"113","DSK","53","a1d633bf16778c210a6c91cb6602b084e0ce5bf5a68b1b3a1232a425a52fe4a6","3b74c8ac-9c19-45b0-935f-8630b8da4543","Clockwork Percussionist","{R}","Artifact Creature — Monkey Toy","Haste
When this creature dies, exile the top card of your library. You may play it until the end of your next turn.","Haste","blocked","","system","impulse_play","","The dies trigger cannot exile the top card and grant play permission through the next turn.","https://scryfall.com/card/dsk/130/clockwork-percussionist?utm_source=api"
